taxon_id,scientific_name,common_name,iconic_taxon_name,species_guess,latitude,longitude,positional_accuracy,place_guess,observed_on,time_observed_at,time_zone,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,coordinates_obscured,image_url,sound_url,description,tag_list
206894,Athene cunicularia hypugaea,Western Burrowing Owl,Aves,Western Burrowing Owl,32.5806427969,-116.9653640986,8.0,"Otay Ranch, Chula Vista, CA, USA",2017-08-28,2017-08-29 01:34:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/10088754/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.56755235,-116.949892,,"San Diego County, US-CA, US",2012-02-26,,Pacific Time (US & Canada),casual,0,0,False,False,,,Found dead on paved road.,class-bulkobservationfile-user_id-6814-filename-global-roadkill-upload1-csv-project_id-14609-2017-09-05 13:37:45 -0700.csv
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.56755235,-116.949892,,"San Diego County, US-CA, US",2012-02-26,,Pacific Time (US & Canada),casual,0,0,False,False,,,Found dead on paved road.,class-bulkobservationfile-user_id-6814-filename-global-roadkill-upload1-csv-project_id-14609-2017-09-06 18:06:31 -0700.csv
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7071828652,-117.3302297796,61.0,"San Diego County, US-CA, US",2017-10-31,2017-10-31 19:17:00 UTC,Pacific Time (US & Canada),research,7,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/11557950/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7597488051,-117.2206912656,1336.0,"S Shores Park, San Diego, CA, US",2017-10-30,2017-10-30 21:00:30 UTC,Pacific Time (US & Canada),research,7,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/11588284/medium.jpg,,Returning bird by San Diego River Flood Control Channel ,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.6614774048,-117.3921937213,111.0,"San Diego County, US-CA, US",2017-11-03,2017-11-03 18:19:00 UTC,Pacific Time (US & Canada),research,6,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/11617566/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.6744543,-117.2404906,196.0,"San Diego, CA 92106, USA",2017-10-22,2017-10-22 11:52:00 UTC,Pacific Time (US & Canada),research,3,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/11813120/medium.jpeg,,with band (USGS),
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7504962659,-117.3108113398,31.0,"San Diego County, US-CA, US",2017-11-22,2017-11-22 18:59:00 UTC,Pacific Time (US & Canada),research,5,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/11973479/medium.jpeg,,,
206894,Athene cunicularia hypugaea,Western Burrowing Owl,Aves,Western Burrowing Owl,33.0753617041,-116.0988084326,50.0,"California, US",2017-06-19,2017-06-20 04:58:00 UTC,Pacific Time (US & Canada),research,4,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/12128723/medium.jpeg,,2158:061917:126F:0000:CAMERA1:6E[186:0010]G[008:0x0006,
206894,Athene cunicularia hypugaea,Western Burrowing Owl,Aves,Western Burrowing Owl,33.1439067358,-116.0327446982,50.0,"California, US",2017-06-20,2017-06-20 23:57:00 UTC,Pacific Time (US & Canada),research,3,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/12129152/medium.jpeg,,1657:062017:99F:0000:CAMERA1:7E[102:0398]G[024:0x0016,
206894,Athene cunicularia hypugaea,Western Burrowing Owl,Aves,Western Burrowing Owl,33.1073092945,-116.1883988178,50.0,"California, US",2017-06-21,2017-06-21 14:29:00 UTC,Pacific Time (US & Canada),research,3,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/12129287/medium.jpeg,,0729:062117:124F:0000:CAMERA1:7E[161:0030]G[008:0x0006,
